New Terminal Output:
=== VENDORS DATA ===
Headers: ('id', 'name', 'iban')
Row 466: ('V465', 'Vendor 465', 'IBAN000000465')
Row 467: ('V466', 'Vendor 466', 'IBAN000000466')
Row 468: ('V467', 'Vendor 467', 'IBAN000000467')
Row 469: ('V468', 'Vendor 468', 'IBAN000000468')
Row 470: ('V469', 'Vendor 469', 'IBAN000000469')
Row 471: ('V470', 'Vendor 470', 'IBAN000000470')
Row 472: ('V471', 'Vendor 471', 'IBAN000000471')
Row 473: ('V472', 'Vendor 472', 'IBAN000000472')
Row 474: ('V473', 'Vendor 473', 'IBAN000000473')
Row 475: ('V474', 'Vendor 474', 'IBAN000000474')
Row 476: ('V475', 'Vendor 475', 'IBAN000000475')
Row 477: ('V476', 'Vendor 476', 'IBAN000000476')
Row 478: ('V477', 'Vendor 477', 'IBAN000000477')
Row 479: ('V478', 'Vendor 478', 'IBAN000000478')
Row 480: ('V479', 'Vendor 479', 'IBAN000000479')
Row 481: ('V480', 'Vendor 480', 'IBAN000000480')
Row 482: ('V481', 'Vendor 481', 'IBAN000000481')
Row 483: ('V482', 'Vendor 482', 'IBAN000000482')
Row 484: ('V483', 'Vendor 483', 'IBAN000000483')
Row 485: ('V484', 'Vendor 484', 'IBAN000000484')
Row 486: ('V485', 'Vendor 485', 'IBAN000000485')
Row 487: ('V486', 'Vendor 486', 'IBAN000000486')
Row 488: ('V487', 'Vendor 487', 'IBAN000000487')
Row 489: ('V488', 'Vendor 488', 'IBAN000000488')
Row 490: ('V489', 'Vendor 489', 'IBAN000000489')
Row 491: ('V490', 'Vendor 490', 'IBAN000000490')
Row 492: ('V491', 'Vendor 491', 'IBAN000000491')
Row 493: ('V492', 'Vendor 492', 'IBAN000000492')
Row 494: ('V493', 'Vendor 493', 'IBAN000000493')
Row 495: ('V494', 'Vendor 494', 'IBAN000000494')
Row 496: ('V495', 'Vendor 495', 'IBAN000000495')
Row 497: ('V496', 'Vendor 496', 'IBAN000000496')
Row 498: ('V497', 'Vendor 497', 'IBAN000000497')
Row 499: ('V498', 'Vendor 498', 'IBAN000000498')
Row 500: ('V499', 'Vendor 499', 'IBAN000000499')
Row 501: ('V500', 'Vendor 500', 'IBAN000000500')
Row 502: ('V_NF1', 'Safe Vendor Ltd', 'IBANSAFE001')
Row 503: ('V_NF2', 'Fuzzy Match Systems', 'IBANFUZZ002')
Row 504: ('V_NF3', 'Boundary Corp', 'IBANBOUND003')

Total vendors: 503

First few vendors:
  ID V001: {'name': 'Vendor 1', 'iban': 'IBAN000000001'}
  ID V002: {'name': 'Vendor 2', 'iban': 'IBAN000000002'}
  ID V003: {'name': 'Vendor 3', 'iban': 'IBAN000000003'}
  ID V004: {'name': 'Vendor 4', 'iban': 'IBAN000000004'}
  ID V005: {'name': 'Vendor 5', 'iban': 'IBAN000000005'}
