origin,destination,cost,duration,distance
Palm Springs,Cleveland,,1 day 9 hours,"3,670 km"
Los Angeles,Cleveland,,1 day 10 hours,"3,774 km"
Long Beach,Cleveland,,1 day 10 hours,"3,801 km"
San Francisco,Cleveland,,1 day 12 hours,"3,962 km"
Monterey,Cleveland,,1 day 13 hours,"4,120 km"
Minneapolis,Abilene,,15 hours 28 mins,"1,732 km"
Minneapolis,Amarillo,,14 hours 59 mins,"1,684 km"
Minneapolis,Harlingen,,21 hours 28 mins,"2,409 km"
Minneapolis,Lubbock,,16 hours 22 mins,"1,823 km"
Minneapolis,College Station,,16 hours 41 mins,"1,863 km"
Minneapolis,Corpus Christi,,19 hours 50 mins,"2,234 km"
Minneapolis,Wichita Falls,,13 hours 14 mins,"1,488 km"
Minneapolis,Waco,,15 hours 23 mins,"1,727 km"
Minneapolis,San Angelo,,16 hours 44 mins,"1,867 km"
Minneapolis,Houston,,17 hours 26 mins,"1,893 km"
Minneapolis,San Antonio,,17 hours 59 mins,"2,013 km"
Minneapolis,Del Rio,,19 hours 9 mins,"2,120 km"
Minneapolis,Mission,,,
Minneapolis,Beaumont,,,
Minneapolis,Longview,,14 hours 44 mins,"1,556 km"
Minneapolis,Midland,,17 hours 20 mins,"1,934 km"
Minneapolis,El Paso,,21 hours 1 min,"2,214 km"
Minneapolis,Brownsville,,21 hours 50 mins,"2,449 km"
Minneapolis,Austin,,16 hours 47 mins,"1,886 km"
Minneapolis,Dallas,,14 hours 6 mins,"1,512 km"
Minneapolis,Killeen,,16 hours 11 mins,"1,820 km"
Minneapolis,Laredo,,20 hours 15 mins,"2,263 km"
Minneapolis,Texarkana,,13 hours 59 mins,"1,469 km"
Abilene,Minneapolis,,15 hours 28 mins,"1,729 km"
Amarillo,Minneapolis,,14 hours 57 mins,"1,679 km"
Harlingen,Minneapolis,,21 hours 22 mins,"2,404 km"
Lubbock,Minneapolis,,16 hours 17 mins,"1,818 km"
College Station,Minneapolis,,16 hours 38 mins,"1,858 km"
Corpus Christi,Minneapolis,,19 hours 46 mins,"2,229 km"
Wichita Falls,Minneapolis,,13 hours 12 mins,"1,484 km"
Waco,Minneapolis,,15 hours 21 mins,"1,720 km"
San Angelo,Minneapolis,,16 hours 42 mins,"1,862 km"
Houston,Minneapolis,,17 hours 26 mins,"1,895 km"
San Antonio,Minneapolis,,17 hours 56 mins,"2,009 km"
Del Rio,Minneapolis,,19 hours 5 mins,"2,115 km"
Mission,Minneapolis,,,
Beaumont,Minneapolis,,,
Longview,Minneapolis,,14 hours 42 mins,"1,558 km"
Midland,Minneapolis,,17 hours 17 mins,"1,932 km"
El Paso,Minneapolis,,20 hours 57 mins,"2,211 km"
Brownsville,Minneapolis,,21 hours 46 mins,"2,444 km"
Austin,Minneapolis,,16 hours 46 mins,"1,882 km"
Dallas,Minneapolis,,14 hours 7 mins,"1,515 km"
Killeen,Minneapolis,,16 hours 11 mins,"1,816 km"
Laredo,Minneapolis,,20 hours 14 mins,"2,259 km"
Texarkana,Minneapolis,,13 hours 53 mins,"1,465 km"
Columbus,Alamosa,,20 hours 2 mins,"2,168 km"
Columbus,Grand Junction,,21 hours 55 mins,"2,415 km"
Columbus,Durango,,22 hours 54 mins,"2,408 km"
Columbus,Colorado Springs,,18 hours 12 mins,"2,000 km"
Columbus,Gunnison,,21 hours 23 mins,"2,276 km"
Columbus,Denver,,18 hours 16 mins,"2,026 km"
Alamosa,Columbus,,19 hours 56 mins,"2,168 km"
Grand Junction,Columbus,,21 hours 47 mins,"2,414 km"
Durango,Columbus,,22 hours 47 mins,"2,408 km"
Colorado Springs,Columbus,,18 hours 6 mins,"2,000 km"
Gunnison,Columbus,,21 hours 14 mins,"2,266 km"
Denver,Columbus,,18 hours 11 mins,"2,029 km"
Dayton,Abilene,,16 hours 46 mins,"1,843 km"
Dayton,Amarillo,,16 hours 17 mins,"1,796 km"
Dayton,Harlingen,,21 hours 30 mins,"2,301 km"
Dayton,Lubbock,,17 hours 39 mins,"1,934 km"
Dayton,College Station,,16 hours 38 mins,"1,746 km"
Dayton,Corpus Christi,,19 hours 45 mins,"2,107 km"
Dayton,Wichita Falls,,14 hours 32 mins,"1,599 km"
Dayton,Waco,,15 hours 56 mins,"1,744 km"
Dayton,San Angelo,,18 hours 2 mins,"1,978 km"
Dayton,Houston,,16 hours 38 mins,"1,773 km"
Dayton,San Antonio,,18 hours 32 mins,"2,029 km"
Dayton,Del Rio,,20 hours 27 mins,"2,231 km"
Dayton,Mission,,,
Dayton,Beaumont,,,
Dayton,Longview,,13 hours 30 mins,"1,449 km"
Dayton,Midland,,18 hours 37 mins,"2,045 km"
Dayton,El Paso,,22 hours 52 mins,"2,493 km"
Dayton,Brownsville,,21 hours 52 mins,"2,341 km"
Dayton,Austin,,17 hours 20 mins,"1,903 km"
Dayton,Dallas,,14 hours 32 mins,"1,588 km"
Dayton,Killeen,,16 hours 44 mins,"1,837 km"
Dayton,Laredo,,20 hours 48 mins,"2,280 km"
Dayton,Texarkana,,12 hours 3 mins,"1,309 km"
Abilene,Dayton,,16 hours 46 mins,"1,845 km"
Amarillo,Dayton,,16 hours 15 mins,"1,795 km"
Harlingen,Dayton,,21 hours 23 mins,"2,299 km"
Lubbock,Dayton,,17 hours 35 mins,"1,935 km"
College Station,Dayton,,16 hours 32 mins,"1,741 km"
Corpus Christi,Dayton,,19 hours 45 mins,"2,110 km"
Wichita Falls,Dayton,,14 hours 30 mins,"1,600 km"
Waco,Dayton,,15 hours 51 mins,"1,738 km"
San Angelo,Dayton,,18 hours 0 mins,"1,978 km"
Houston,Dayton,,16 hours 35 mins,"1,772 km"
San Antonio,Dayton,,18 hours 26 mins,"2,026 km"
Del Rio,Dayton,,20 hours 23 mins,"2,232 km"
Mission,Dayton,,,
Beaumont,Dayton,,,
Longview,Dayton,,13 hours 27 mins,"1,446 km"
Midland,Dayton,,18 hours 35 mins,"2,047 km"
El Paso,Dayton,,22 hours 48 mins,"2,492 km"
Brownsville,Dayton,,21 hours 47 mins,"2,339 km"
Austin,Dayton,,17 hours 15 mins,"1,900 km"
Dallas,Dayton,,14 hours 29 mins,"1,586 km"
Killeen,Dayton,,16 hours 40 mins,"1,834 km"
Laredo,Dayton,,20 hours 44 mins,"2,277 km"
Texarkana,Dayton,,12 hours 0 mins,"1,305 km"
Newark,Minneapolis,,17 hours 45 mins,"1,911 km"
Minneapolis,Newark,,17 hours 37 mins,"1,919 km"
Cincinnati,Norfolk,,9 hours 33 mins,974 km
Norfolk,Cincinnati,,9 hours 32 mins,976 km
Dallas,Toledo,,16 hours 27 mins,"1,810 km"
Dallas,Cleveland,,17 hours 19 mins,"1,901 km"
Dallas,Dayton,,14 hours 29 mins,"1,586 km"
Dallas,Columbus,,15 hours 14 mins,"1,673 km"
Dallas,Akron,,17 hours 4 mins,"1,873 km"
Dallas,Cincinnati,,13 hours 40 mins,"1,501 km"
Toledo,Dallas,,16 hours 34 mins,"1,798 km"
Cleveland,Dallas,,17 hours 22 mins,"1,903 km"
Dayton,Dallas,,14 hours 32 mins,"1,588 km"
Columbus,Dallas,,15 hours 17 mins,"1,675 km"
Akron,Dallas,,17 hours 6 mins,"1,877 km"
Cincinnati,Dallas,,13 hours 43 mins,"1,503 km"
Minneapolis,Alamosa,,16 hours 13 mins,"1,727 km"
Minneapolis,Grand Junction,,16 hours 38 mins,"1,855 km"
Minneapolis,Durango,,18 hours 49 mins,"2,005 km"
Minneapolis,Colorado Springs,,13 hours 56 mins,"1,584 km"
Minneapolis,Gunnison,,16 hours 23 mins,"1,786 km"
Minneapolis,Denver,,13 hours 1 min,"1,469 km"
Alamosa,Minneapolis,,16 hours 8 mins,"1,727 km"
Grand Junction,Minneapolis,,16 hours 33 mins,"1,854 km"
Durango,Minneapolis,,18 hours 45 mins,"2,005 km"
Colorado Springs,Minneapolis,,13 hours 52 mins,"1,581 km"
Gunnison,Minneapolis,,16 hours 19 mins,"1,786 km"
Denver,Minneapolis,,13 hours 0 mins,"1,471 km"
Phoenix,Daytona Beach,,1 day 7 hours,"3,441 km"
Daytona Beach,Phoenix,,1 day 7 hours,"3,430 km"
Charlotte,Akron,,7 hours 16 mins,771 km
Akron,Charlotte,,7 hours 13 mins,771 km
Huntsville,Daytona Beach,,9 hours 33 mins,995 km
Daytona Beach,Huntsville,,9 hours 31 mins,986 km
Appleton,Daytona Beach,,19 hours 51 mins,"2,177 km"
Daytona Beach,Appleton,,19 hours 51 mins,"2,170 km"
Cleveland,Nashville,,7 hours 47 mins,839 km
Cleveland,Bristol,,,
Cleveland,Knoxville,,7 hours 22 mins,804 km
Cleveland,Chattanooga,,8 hours 57 mins,978 km
Cleveland,Memphis,,10 hours 46 mins,"1,176 km"
Nashville,Cleveland,,7 hours 45 mins,839 km
Bristol,Cleveland,,,
Knoxville,Cleveland,,7 hours 22 mins,804 km
Chattanooga,Cleveland,,8 hours 58 mins,979 km
Memphis,Cleveland,,10 hours 46 mins,"1,174 km"
Hartford,Daytona Beach,,17 hours 0 mins,"1,848 km"
Daytona Beach,Hartford,,16 hours 55 mins,"1,826 km"
Greer,Daytona Beach,,7 hours 5 mins,783 km
Daytona Beach,Greer,,7 hours 4 mins,772 km
Rapid City,Minneapolis,,8 hours 18 mins,927 km
Minneapolis,Rapid City,,8 hours 21 mins,925 km
Washington,Cleveland,,5 hours 55 mins,592 km
Cleveland,Washington,,6 hours 7 mins,593 km
Birmingham,Daytona Beach,,,
Daytona Beach,Birmingham,,,
Washington,Toledo,,7 hours 14 mins,750 km
Washington,Cleveland,,5 hours 55 mins,592 km
Washington,Dayton,,7 hours 26 mins,755 km
Washington,Columbus,,6 hours 23 mins,641 km
Washington,Akron,,5 hours 33 mins,555 km
Washington,Cincinnati,,7 hours 55 mins,808 km
Toledo,Washington,,7 hours 26 mins,748 km
Cleveland,Washington,,6 hours 7 mins,593 km
Dayton,Washington,,7 hours 38 mins,751 km
Columbus,Washington,,6 hours 36 mins,638 km
Akron,Washington,,5 hours 46 mins,557 km
Cincinnati,Washington,,8 hours 5 mins,805 km
Columbus,Greensboro,,6 hours 24 mins,648 km
Columbus,Wilmington,,9 hours 17 mins,974 km
Columbus,New Bern,,9 hours 17 mins,953 km
Columbus,Charlotte,,6 hours 42 mins,684 km
Columbus,Raleigh,,7 hours 34 mins,768 km
Columbus,Asheville,,6 hours 56 mins,636 km
Columbus,Fayetteville,,7 hours 54 mins,793 km
Greensboro,Columbus,,6 hours 22 mins,647 km
Wilmington,Columbus,,9 hours 14 mins,974 km
New Bern,Columbus,,9 hours 14 mins,952 km
Charlotte,Columbus,,6 hours 41 mins,685 km
Raleigh,Columbus,,7 hours 29 mins,767 km
Asheville,Columbus,,6 hours 56 mins,636 km
Fayetteville,Columbus,,7 hours 52 mins,793 km
Columbus,Charlotte,,6 hours 42 mins,684 km
Charlotte,Columbus,,6 hours 41 mins,685 km
Minneapolis,Escanaba,,5 hours 51 mins,589 km
Escanaba,Minneapolis,,5 hours 51 mins,590 km
Akron,Augusta,,9 hours 36 mins,"1,031 km"
Akron,Decatur,,10 hours 24 mins,"1,122 km"
Akron,Atlanta,,10 hours 9 mins,"1,114 km"
Akron,Valdosta,,13 hours 26 mins,"1,482 km"
Akron,Savannah,,10 hours 51 mins,"1,174 km"
Augusta,Akron,,9 hours 39 mins,"1,033 km"
Decatur,Akron,,10 hours 26 mins,"1,121 km"
Atlanta,Akron,,10 hours 10 mins,"1,114 km"
Valdosta,Akron,,13 hours 25 mins,"1,481 km"
Savannah,Akron,,10 hours 53 mins,"1,173 km"
Rochester,Daytona Beach,,17 hours 40 mins,"1,912 km"
Daytona Beach,Rochester,,17 hours 30 mins,"1,894 km"
Cincinnati,Augusta,,8 hours 32 mins,863 km
Cincinnati,Decatur,,7 hours 1 min,749 km
Cincinnati,Atlanta,,6 hours 46 mins,741 km
Cincinnati,Valdosta,,10 hours 3 mins,"1,108 km"
Cincinnati,Savannah,,9 hours 56 mins,"1,070 km"
Augusta,Cincinnati,,8 hours 32 mins,862 km
Decatur,Cincinnati,,7 hours 2 mins,749 km
Atlanta,Cincinnati,,6 hours 46 mins,741 km
Valdosta,Cincinnati,,10 hours 2 mins,"1,108 km"
Savannah,Cincinnati,,9 hours 58 mins,"1,069 km"
New York,Cleveland,,7 hours 16 mins,744 km
Cleveland,New York,,7 hours 14 mins,744 km
Newark,Toledo,,8 hours 18 mins,886 km
Newark,Cleveland,,6 hours 59 mins,728 km
Newark,Dayton,,9 hours 14 mins,958 km
Newark,Columbus,,8 hours 11 mins,844 km
Newark,Akron,,6 hours 35 mins,690 km
Newark,Cincinnati,,9 hours 43 mins,"1,011 km"
Toledo,Newark,,8 hours 13 mins,884 km
Cleveland,Newark,,6 hours 54 mins,729 km
Dayton,Newark,,9 hours 17 mins,957 km
Columbus,Newark,,8 hours 14 mins,844 km
Akron,Newark,,6 hours 28 mins,689 km
Cincinnati,Newark,,9 hours 44 mins,"1,011 km"
Orlando,Daytona Beach,,55 mins,89.8 km
Daytona Beach,Orlando,,1 hour 0 mins,91.5 km
Nashville,Daytona Beach,,10 hours 3 mins,"1,105 km"
Daytona Beach,Nashville,,10 hours 1 min,"1,097 km"
Minneapolis,Buffalo,,14 hours 2 mins,"1,528 km"
Buffalo,Minneapolis,,14 hours 4 mins,"1,520 km"
St. Petersburg,Toledo,,,
St. Petersburg,Cleveland,,,
St. Petersburg,Dayton,,,
St. Petersburg,Columbus,,,
St. Petersburg,Akron,,,
St. Petersburg,Cincinnati,,,
Toledo,St. Petersburg,,,
Cleveland,St. Petersburg,,,
Dayton,St. Petersburg,,,
Columbus,St. Petersburg,,,
Akron,St. Petersburg,,,
Cincinnati,St. Petersburg,,,
Cincinnati,Philadelphia,,8 hours 44 mins,921 km
Philadelphia,Cincinnati,,8 hours 47 mins,922 km
Newburgh,Daytona Beach,,16 hours 4 mins,"1,755 km"
Daytona Beach,Newburgh,,15 hours 57 mins,"1,734 km"
Detroit,Minneapolis,,10 hours 14 mins,"1,119 km"
Minneapolis,Detroit,,10 hours 8 mins,"1,116 km"
Dayton,Greensboro,,6 hours 46 mins,698 km
Dayton,Wilmington,,9 hours 40 mins,"1,025 km"
Dayton,New Bern,,9 hours 39 mins,"1,003 km"
Dayton,Charlotte,,7 hours 5 mins,734 km
Dayton,Raleigh,,7 hours 56 mins,818 km
Dayton,Asheville,,6 hours 21 mins,672 km
Dayton,Fayetteville,,8 hours 16 mins,843 km
Greensboro,Dayton,,6 hours 46 mins,697 km
Wilmington,Dayton,,9 hours 39 mins,"1,024 km"
New Bern,Dayton,,9 hours 38 mins,"1,002 km"
Charlotte,Dayton,,7 hours 6 mins,735 km
Raleigh,Dayton,,7 hours 53 mins,817 km
Asheville,Dayton,,6 hours 21 mins,671 km
Fayetteville,Dayton,,8 hours 17 mins,843 km
Dayton,State College,,6 hours 13 mins,632 km
Dayton,Johnstown,,5 hours 9 mins,521 km
Dayton,Harrisburg,,6 hours 48 mins,705 km
Dayton,Erie,,4 hours 37 mins,497 km
Dayton,Pittsburgh,,3 hours 57 mins,410 km
Dayton,Latrobe,,4 hours 35 mins,457 km
Dayton,Philadelphia,,8 hours 17 mins,867 km
Dayton,Lewisburg,,6 hours 56 mins,750 km
Dayton,Scranton,,8 hours 6 mins,876 km
State College,Dayton,,6 hours 13 mins,638 km
Johnstown,Dayton,,5 hours 9 mins,519 km
Harrisburg,Dayton,,6 hours 47 mins,705 km
Erie,Dayton,,4 hours 37 mins,496 km
Pittsburgh,Dayton,,3 hours 57 mins,412 km
Latrobe,Dayton,,4 hours 32 mins,457 km
Philadelphia,Dayton,,8 hours 19 mins,869 km
Lewisburg,Dayton,,6 hours 54 mins,749 km
Scranton,Dayton,,8 hours 4 mins,874 km
Raleigh,Daytona Beach,,7 hours 56 mins,885 km
Daytona Beach,Raleigh,,7 hours 52 mins,872 km
Plattsburgh,Daytona Beach,,19 hours 29 mins,"2,143 km"
Daytona Beach,Plattsburgh,,19 hours 23 mins,"2,122 km"
San Francisco,Minneapolis,,1 day 5 hours,"3,166 km"
Minneapolis,San Francisco,,1 day 5 hours,"3,176 km"
Rockford,Daytona Beach,,17 hours 59 mins,"1,994 km"
Daytona Beach,Rockford,,18 hours 2 mins,"1,991 km"
Columbus,Abilene,,17 hours 34 mins,"1,938 km"
Columbus,Amarillo,,17 hours 5 mins,"1,890 km"
Columbus,Harlingen,,22 hours 14 mins,"2,388 km"
Columbus,Lubbock,,18 hours 28 mins,"2,029 km"
Columbus,College Station,,17 hours 22 mins,"1,833 km"
Columbus,Corpus Christi,,20 hours 29 mins,"2,193 km"
Columbus,Wichita Falls,,15 hours 20 mins,"1,694 km"
Columbus,Waco,,16 hours 40 mins,"1,830 km"
Columbus,San Angelo,,18 hours 50 mins,"2,072 km"
Columbus,Houston,,17 hours 22 mins,"1,860 km"
Columbus,San Antonio,,19 hours 16 mins,"2,116 km"
Columbus,Del Rio,,21 hours 15 mins,"2,325 km"
Columbus,Mission,,,
Columbus,Beaumont,,,
Columbus,Longview,,14 hours 14 mins,"1,535 km"
Columbus,Midland,,19 hours 26 mins,"2,140 km"
Columbus,El Paso,,23 hours 40 mins,"2,588 km"
Columbus,Brownsville,,22 hours 36 mins,"2,427 km"
Columbus,Austin,,18 hours 4 mins,"1,989 km"
Columbus,Dallas,,15 hours 17 mins,"1,675 km"
Columbus,Killeen,,17 hours 28 mins,"1,924 km"
Columbus,Laredo,,21 hours 32 mins,"2,366 km"
Columbus,Texarkana,,12 hours 48 mins,"1,395 km"
Abilene,Columbus,,17 hours 33 mins,"1,938 km"
Amarillo,Columbus,,17 hours 3 mins,"1,889 km"
Harlingen,Columbus,,22 hours 8 mins,"2,386 km"
Lubbock,Columbus,,18 hours 23 mins,"2,028 km"
College Station,Columbus,,17 hours 18 mins,"1,827 km"
Corpus Christi,Columbus,,20 hours 30 mins,"2,197 km"
Wichita Falls,Columbus,,15 hours 18 mins,"1,694 km"
Waco,Columbus,,16 hours 36 mins,"1,825 km"
San Angelo,Columbus,,18 hours 48 mins,"2,072 km"
Houston,Columbus,,17 hours 20 mins,"1,858 km"
San Antonio,Columbus,,19 hours 11 mins,"2,112 km"
Del Rio,Columbus,,21 hours 11 mins,"2,325 km"
Mission,Columbus,,,
Beaumont,Columbus,,,
Longview,Columbus,,14 hours 13 mins,"1,533 km"
Midland,Columbus,,19 hours 23 mins,"2,141 km"
El Paso,Columbus,,23 hours 36 mins,"2,585 km"
Brownsville,Columbus,,22 hours 32 mins,"2,426 km"
Austin,Columbus,,18 hours 0 mins,"1,987 km"
Dallas,Columbus,,15 hours 14 mins,"1,673 km"
Killeen,Columbus,,17 hours 25 mins,"1,921 km"
Laredo,Columbus,,21 hours 29 mins,"2,364 km"
Texarkana,Columbus,,12 hours 45 mins,"1,392 km"
Daytona Beach,Atlanta,,6 hours 18 mins,696 km
Atlanta,Daytona Beach,,6 hours 20 mins,706 km
Cincinnati,Abilene,,16 hours 21 mins,"1,793 km"
Cincinnati,Amarillo,,16 hours 6 mins,"1,781 km"
Cincinnati,Harlingen,,20 hours 41 mins,"2,216 km"
Cincinnati,Lubbock,,17 hours 29 mins,"1,920 km"
Cincinnati,College Station,,15 hours 49 mins,"1,661 km"
Cincinnati,Corpus Christi,,18 hours 56 mins,"2,022 km"
Cincinnati,Wichita Falls,,14 hours 22 mins,"1,585 km"
Cincinnati,Waco,,15 hours 7 mins,"1,659 km"
Cincinnati,San Angelo,,17 hours 35 mins,"1,917 km"
Cincinnati,Houston,,15 hours 49 mins,"1,688 km"
Cincinnati,San Antonio,,17 hours 43 mins,"1,944 km"
Cincinnati,Del Rio,,20 hours 0 mins,"2,170 km"
Cincinnati,Mission,,,
Cincinnati,Beaumont,,,
Cincinnati,Longview,,12 hours 41 mins,"1,364 km"
Cincinnati,Midland,,18 hours 29 mins,"2,034 km"
Cincinnati,El Paso,,22 hours 41 mins,"2,479 km"
Cincinnati,Brownsville,,21 hours 3 mins,"2,256 km"
Cincinnati,Austin,,16 hours 31 mins,"1,817 km"
Cincinnati,Dallas,,13 hours 43 mins,"1,503 km"
Cincinnati,Killeen,,15 hours 55 mins,"1,752 km"
Cincinnati,Laredo,,19 hours 59 mins,"2,195 km"
Cincinnati,Texarkana,,11 hours 14 mins,"1,223 km"
Abilene,Cincinnati,,16 hours 17 mins,"1,791 km"
Amarillo,Cincinnati,,16 hours 5 mins,"1,779 km"
Harlingen,Cincinnati,,20 hours 35 mins,"2,214 km"
Lubbock,Cincinnati,,17 hours 25 mins,"1,918 km"
College Station,Cincinnati,,15 hours 44 mins,"1,655 km"
Corpus Christi,Cincinnati,,18 hours 56 mins,"2,025 km"
Wichita Falls,Cincinnati,,14 hours 19 mins,"1,584 km"
Waco,Cincinnati,,15 hours 2 mins,"1,653 km"
San Angelo,Cincinnati,,17 hours 29 mins,"1,915 km"
Houston,Cincinnati,,15 hours 46 mins,"1,686 km"
San Antonio,Cincinnati,,17 hours 37 mins,"1,940 km"
Del Rio,Cincinnati,,19 hours 52 mins,"2,169 km"
Mission,Cincinnati,,,
Beaumont,Cincinnati,,,
Longview,Cincinnati,,12 hours 39 mins,"1,361 km"
Midland,Cincinnati,,18 hours 23 mins,"2,031 km"
El Paso,Cincinnati,,22 hours 37 mins,"2,475 km"
Brownsville,Cincinnati,,20 hours 58 mins,"2,254 km"
Austin,Cincinnati,,16 hours 27 mins,"1,814 km"
Dallas,Cincinnati,,13 hours 40 mins,"1,501 km"
Killeen,Cincinnati,,15 hours 51 mins,"1,749 km"
Laredo,Cincinnati,,19 hours 55 mins,"2,192 km"
Texarkana,Cincinnati,,11 hours 11 mins,"1,220 km"
Cleveland,Abilene,,19 hours 36 mins,"2,162 km"
Cleveland,Amarillo,,19 hours 7 mins,"2,115 km"
Cleveland,Harlingen,,1 day 0 hours,"2,616 km"
Cleveland,Lubbock,,20 hours 30 mins,"2,253 km"
Cleveland,College Station,,19 hours 27 mins,"2,061 km"
Cleveland,Corpus Christi,,22 hours 34 mins,"2,421 km"
Cleveland,Wichita Falls,,17 hours 22 mins,"1,918 km"
Cleveland,Waco,,18 hours 45 mins,"2,059 km"
Cleveland,San Angelo,,20 hours 52 mins,"2,297 km"
Cleveland,Houston,,19 hours 27 mins,"2,088 km"
Cleveland,San Antonio,,21 hours 21 mins,"2,344 km"
Cleveland,Del Rio,,23 hours 17 mins,"2,550 km"
Cleveland,Mission,,,
Cleveland,Beaumont,,,
Cleveland,Longview,,16 hours 19 mins,"1,764 km"
Cleveland,Midland,,21 hours 28 mins,"2,364 km"
Cleveland,El Paso,,1 day 2 hours,"2,812 km"
Cleveland,Brownsville,,1 day 1 hour,"2,655 km"
Cleveland,Austin,,20 hours 9 mins,"2,217 km"
Cleveland,Dallas,,17 hours 22 mins,"1,903 km"
Cleveland,Killeen,,19 hours 33 mins,"2,152 km"
Cleveland,Laredo,,23 hours 37 mins,"2,594 km"
Cleveland,Texarkana,,14 hours 53 mins,"1,623 km"
Abilene,Cleveland,,19 hours 39 mins,"2,165 km"
Amarillo,Cleveland,,19 hours 9 mins,"2,116 km"
Harlingen,Cleveland,,1 day 0 hours,"2,615 km"
Lubbock,Cleveland,,20 hours 29 mins,"2,255 km"
College Station,Cleveland,,19 hours 22 mins,"2,056 km"
Corpus Christi,Cleveland,,22 hours 35 mins,"2,425 km"
Wichita Falls,Cleveland,,17 hours 23 mins,"1,921 km"
Waco,Cleveland,,18 hours 41 mins,"2,053 km"
San Angelo,Cleveland,,20 hours 53 mins,"2,299 km"
Houston,Cleveland,,19 hours 25 mins,"2,087 km"
San Antonio,Cleveland,,21 hours 16 mins,"2,341 km"
Del Rio,Cleveland,,23 hours 16 mins,"2,552 km"
Mission,Cleveland,,,
Beaumont,Cleveland,,,
Longview,Cleveland,,16 hours 17 mins,"1,762 km"
Midland,Cleveland,,21 hours 29 mins,"2,368 km"
El Paso,Cleveland,,1 day 2 hours,"2,812 km"
Brownsville,Cleveland,,1 day 1 hour,"2,655 km"
Austin,Cleveland,,20 hours 5 mins,"2,215 km"
Dallas,Cleveland,,17 hours 19 mins,"1,901 km"
Killeen,Cleveland,,19 hours 30 mins,"2,150 km"
Laredo,Cleveland,,23 hours 34 mins,"2,592 km"
Texarkana,Cleveland,,14 hours 50 mins,"1,620 km"
Newark,Daytona Beach,,15 hours 0 mins,"1,648 km"
Daytona Beach,Newark,,14 hours 54 mins,"1,629 km"
Knoxville,Minneapolis,,13 hours 58 mins,"1,529 km"
Minneapolis,Knoxville,,13 hours 55 mins,"1,527 km"
Minneapolis,San Diego,,1 day 5 hours,"3,198 km"
San Diego,Minneapolis,,1 day 5 hours,"3,197 km"
Grand Forks,Minneapolis,,4 hours 37 mins,507 km
Minneapolis,Grand Forks,,4 hours 37 mins,507 km
Houston,Daytona Beach,,13 hours 49 mins,"1,550 km"
Daytona Beach,Houston,,13 hours 47 mins,"1,541 km"
Daytona Beach,Abilene,,18 hours 27 mins,"2,028 km"
Daytona Beach,Amarillo,,21 hours 18 mins,"2,327 km"
Daytona Beach,Harlingen,,18 hours 39 mins,"2,068 km"
Daytona Beach,Lubbock,,20 hours 51 mins,"2,293 km"
Daytona Beach,College Station,,15 hours 11 mins,"1,664 km"
Daytona Beach,Corpus Christi,,16 hours 54 mins,"1,874 km"
Daytona Beach,Wichita Falls,,17 hours 53 mins,"1,966 km"
Daytona Beach,Waco,,16 hours 31 mins,"1,796 km"
Daytona Beach,San Angelo,,19 hours 29 mins,"2,124 km"
Daytona Beach,Houston,,13 hours 47 mins,"1,541 km"
Daytona Beach,San Antonio,,16 hours 39 mins,"1,854 km"
Daytona Beach,Del Rio,,19 hours 3 mins,"2,101 km"
Daytona Beach,Mission,,,
Daytona Beach,Beaumont,,,
Daytona Beach,Longview,,14 hours 11 mins,"1,544 km"
Daytona Beach,Midland,,20 hours 35 mins,"2,269 km"
Daytona Beach,El Paso,,1 day 0 hours,"2,739 km"
Daytona Beach,Brownsville,,19 hours 1 min,"2,108 km"
Daytona Beach,Austin,,16 hours 15 mins,"1,804 km"
Daytona Beach,Dallas,,15 hours 52 mins,"1,740 km"
Daytona Beach,Killeen,,16 hours 50 mins,"1,859 km"
Daytona Beach,Laredo,,18 hours 46 mins,"2,046 km"
Daytona Beach,Texarkana,,14 hours 13 mins,"1,555 km"
Abilene,Daytona Beach,,18 hours 30 mins,"2,038 km"
Amarillo,Daytona Beach,,21 hours 20 mins,"2,330 km"
Harlingen,Daytona Beach,,18 hours 37 mins,"2,078 km"
Lubbock,Daytona Beach,,20 hours 49 mins,"2,303 km"
College Station,Daytona Beach,,15 hours 11 mins,"1,698 km"
Corpus Christi,Daytona Beach,,16 hours 59 mins,"1,888 km"
Wichita Falls,Daytona Beach,,17 hours 58 mins,"1,967 km"
Waco,Daytona Beach,,16 hours 32 mins,"1,805 km"
San Angelo,Daytona Beach,,19 hours 31 mins,"2,134 km"
Houston,Daytona Beach,,13 hours 49 mins,"1,550 km"
San Antonio,Daytona Beach,,16 hours 41 mins,"1,864 km"
Del Rio,Daytona Beach,,19 hours 7 mins,"2,111 km"
Mission,Daytona Beach,,,
Beaumont,Daytona Beach,,,
Longview,Daytona Beach,,14 hours 11 mins,"1,548 km"
Midland,Daytona Beach,,20 hours 35 mins,"2,278 km"
El Paso,Daytona Beach,,1 day 0 hours,"2,749 km"
Brownsville,Daytona Beach,,19 hours 1 min,"2,118 km"
Austin,Daytona Beach,,16 hours 16 mins,"1,813 km"
Dallas,Daytona Beach,,15 hours 55 mins,"1,747 km"
Killeen,Daytona Beach,,16 hours 51 mins,"1,862 km"
Laredo,Daytona Beach,,18 hours 45 mins,"2,056 km"
Texarkana,Daytona Beach,,14 hours 16 mins,"1,566 km"
Providence,Daytona Beach,,18 hours 6 mins,"1,950 km"
