Game Data from Excel:
================================================================================
Row 0: ('ModelOff 2016 - Round 1 - Section 3', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)
Row 1465: (None, None, 1457, 729, 6, 5, 3, 1, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1466: (None, None, 1458, 729, 5, 4, 1, 2, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1467: (None, None, 1459, 730, 5, 2, 5, 4, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1468: (None, None, 1460, 730, 5, 2, 3, 1, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1469: (None, None, 1461, 731, 3, 2, 3, 1, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1470: (None, None, 1462, 731, 2, 2, 2, 4, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1471: (None, None, 1463, 732, 6, 1, 5, 5, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1472: (None, None, 1464, 732, 5, 6, 5, 2, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1473: (None, None, 1465, 733, 6, 2, 1, 6, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1474: (None, None, 1466, 733, 1, 2, 1, 5, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1475: (None, None, 1467, 734, 4, 5, 3, 1, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1476: (None, None, 1468, 734, 4, 6, 6, 5, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1477: (None, None, 1469, 735, 3, 1, 5, 1, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1478: (None, None, 1470, 735, 5, 5, 4, 4, 6, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1479: (None, None, 1471, 736, 1, 4, 2, 2, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1480: (None, None, 1472, 736, 2, 4, 4, 3, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1481: (None, None, 1473, 737, 3, 4, 3, 6, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1482: (None, None, 1474, 737, 2, 3, 1, 4, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1483: (None, None, 1475, 738, 1, 2, 4, 1, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1484: (None, None, 1476, 738, 3, 3, 3, 6, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1485: (None, None, 1477, 739, 4, 3, 3, 6, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1486: (None, None, 1478, 739, 1, 6, 2, 1, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1487: (None, None, 1479, 740, 2, 5, 3, 2, 6, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1488: (None, None, 1480, 740, 2, 3, 6, 2, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1489: (None, None, 1481, 741, 2, 2, 6, 2, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1490: (None, None, 1482, 741, 4, 5, 2, 3, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1491: (None, None, 1483, 742, 4, 5, 4, 4, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1492: (None, None, 1484, 742, 5, 2, 5, 2, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1493: (None, None, 1485, 743, 1, 5, 2, 1, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1494: (None, None, 1486, 743, 3, 2, 3, 2, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1495: (None, None, 1487, 744, 5, 3, 3, 4, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1496: (None, None, 1488, 744, 2, 3, 5, 2, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1497: (None, None, 1489, 745, 5, 4, 3, 2, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1498: (None, None, 1490, 745, 1, 6, 2, 5, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1499: (None, None, 1491, 746, 2, 6, 3, 2, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1500: (None, None, 1492, 746, 1, 1, 4, 6, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1501: (None, None, 1493, 747, 2, 6, 3, 5, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1502: (None, None, 1494, 747, 6, 5, 6, 3, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1503: (None, None, 1495, 748, 4, 1, 5, 5, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1504: (None, None, 1496, 748, 3, 4, 4, 5, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1505: (None, None, 1497, 749, 6, 6, 2, 2, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1506: (None, None, 1498, 749, 6, 2, 1, 6, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1507: (None, None, 1499, 750, 1, 2, 2, 5, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1508: (None, None, 1500, 750, 4, 5, 2, 1, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1509: (None, None, 1501, 751, 5, 4, 4, 6, 2, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1510: (None, None, 1502, 751, 2, 1, 2, 6, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1511: (None, None, 1503, 752, 2, 4, 2, 2, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1512: (None, None, 1504, 752, 3, 1, 5, 4, 5, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1513: (None, None, 1505, 753, 4, 3, 6, 2, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1514: (None, None, 1506, 753, 5, 2, 3, 2, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1515: (None, None, 1507, 754, 4, 4, 4, 1, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1516: (None, None, 1508, 754, 3, 5, 3, 1, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1517: (None, None, 1509, 755, 5, 2, 1, 3, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1518: (None, None, 1510, 755, 5, 5, 3, 6, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1519: (None, None, 1511, 756, 5, 2, 4, 6, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1520: (None, None, 1512, 756, 6, 2, 1, 2, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1521: (None, None, 1513, 757, 3, 1, 3, 3, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1522: (None, None, 1514, 757, 3, 6, 1, 3, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1523: (None, None, 1515, 758, 3, 5, 6, 5, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1524: (None, None, 1516, 758, 2, 1, 4, 4, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1525: (None, None, 1517, 759, 2, 3, 3, 1, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1526: (None, None, 1518, 759, 1, 6, 4, 6, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1527: (None, None, 1519, 760, 2, 6, 2, 1, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1528: (None, None, 1520, 760, 2, 3, 5, 1, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1529: (None, None, 1521, 761, 6, 1, 5, 6, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1530: (None, None, 1522, 761, 1, 3, 5, 5, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1531: (None, None, 1523, 762, 4, 5, 1, 5, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1532: (None, None, 1524, 762, 1, 6, 5, 2, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1533: (None, None, 1525, 763, 1, 3, 2, 6, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1534: (None, None, 1526, 763, 1, 4, 4, 3, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1535: (None, None, 1527, 764, 6, 5, 2, 5, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1536: (None, None, 1528, 764, 4, 4, 5, 2, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1537: (None, None, 1529, 765, 6, 2, 2, 6, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1538: (None, None, 1530, 765, 1, 6, 5, 5, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1539: (None, None, 1531, 766, 5, 1, 6, 3, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1540: (None, None, 1532, 766, 3, 5, 4, 3, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1541: (None, None, 1533, 767, 6, 6, 6, 6, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1542: (None, None, 1534, 767, 6, 5, 1, 6, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1543: (None, None, 1535, 768, 2, 2, 1, 4, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1544: (None, None, 1536, 768, 5, 3, 2, 6, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1545: (None, None, 1537, 769, 1, 3, 6, 1, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1546: (None, None, 1538, 769, 3, 6, 2, 4, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1547: (None, None, 1539, 770, 4, 4, 5, 3, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1548: (None, None, 1540, 770, 1, 1, 6, 2, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1549: (None, None, 1541, 771, 4, 6, 6, 5, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1550: (None, None, 1542, 771, 4, 6, 4, 2, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1551: (None, None, 1543, 772, 2, 3, 1, 1, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1552: (None, None, 1544, 772, 6, 4, 6, 5, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1553: (None, None, 1545, 773, 2, 1, 6, 2, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1554: (None, None, 1546, 773, 6, 1, 6, 5, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1555: (None, None, 1547, 774, 6, 6, 6, 6, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1556: (None, None, 1548, 774, 6, 5, 6, 4, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1557: (None, None, 1549, 775, 4, 6, 4, 6, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1558: (None, None, 1550, 775, 2, 1, 1, 5, 6, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1559: (None, None, 1551, 776, 3, 6, 6, 2, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1560: (None, None, 1552, 776, 5, 3, 4, 1, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1561: (None, None, 1553, 777, 5, 2, 6, 1, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1562: (None, None, 1554, 777, 6, 5, 1, 3, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1563: (None, None, 1555, 778, 6, 4, 5, 6, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1564: (None, None, 1556, 778, 6, 3, 6, 2, 2, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1565: (None, None, 1557, 779, 1, 4, 1, 2, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1566: (None, None, 1558, 779, 5, 6, 5, 4, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1567: (None, None, 1559, 780, 3, 1, 2, 3, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1568: (None, None, 1560, 780, 1, 2, 5, 1, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1569: (None, None, 1561, 781, 2, 2, 5, 1, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1570: (None, None, 1562, 781, 2, 4, 6, 1, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1571: (None, None, 1563, 782, 2, 2, 6, 1, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1572: (None, None, 1564, 782, 5, 6, 4, 6, 2, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1573: (None, None, 1565, 783, 6, 1, 6, 5, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1574: (None, None, 1566, 783, 3, 6, 1, 3, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1575: (None, None, 1567, 784, 4, 4, 4, 6, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1576: (None, None, 1568, 784, 6, 6, 3, 5, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1577: (None, None, 1569, 785, 2, 6, 3, 3, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1578: (None, None, 1570, 785, 5, 3, 2, 6, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1579: (None, None, 1571, 786, 4, 3, 5, 3, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1580: (None, None, 1572, 786, 1, 3, 5, 3, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1581: (None, None, 1573, 787, 5, 4, 6, 2, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1582: (None, None, 1574, 787, 4, 3, 4, 1, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1583: (None, None, 1575, 788, 1, 2, 4, 5, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1584: (None, None, 1576, 788, 6, 2, 3, 5, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1585: (None, None, 1577, 789, 2, 6, 6, 3, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1586: (None, None, 1578, 789, 1, 1, 5, 6, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1587: (None, None, 1579, 790, 1, 6, 3, 5, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1588: (None, None, 1580, 790, 4, 1, 4, 1, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1589: (None, None, 1581, 791, 5, 4, 2, 1, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1590: (None, None, 1582, 791, 3, 1, 4, 6, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1591: (None, None, 1583, 792, 4, 1, 4, 3, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1592: (None, None, 1584, 792, 5, 5, 2, 5, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1593: (None, None, 1585, 793, 1, 5, 1, 3, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1594: (None, None, 1586, 793, 3, 4, 1, 3, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1595: (None, None, 1587, 794, 1, 1, 4, 4, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1596: (None, None, 1588, 794, 6, 3, 5, 6, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1597: (None, None, 1589, 795, 6, 2, 6, 3, 6, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1598: (None, None, 1590, 795, 2, 2, 4, 5, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1599: (None, None, 1591, 796, 5, 4, 6, 1, 6, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1600: (None, None, 1592, 796, 2, 6, 3, 4, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1601: (None, None, 1593, 797, 5, 5, 5, 6, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1602: (None, None, 1594, 797, 5, 1, 6, 6, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1603: (None, None, 1595, 798, 4, 5, 3, 1, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1604: (None, None, 1596, 798, 4, 2, 2, 6, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1605: (None, None, 1597, 799, 3, 5, 5, 4, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1606: (None, None, 1598, 799, 2, 2, 5, 1, 6, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1607: (None, None, 1599, 800, 6, 1, 2, 5, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1608: (None, None, 1600, 800, 4, 1, 1, 6, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1609: (None, None, 1601, 801, 6, 3, 1, 4, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1610: (None, None, 1602, 801, 3, 2, 3, 3, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1611: (None, None, 1603, 802, 2, 6, 6, 3, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1612: (None, None, 1604, 802, 1, 5, 1, 4, 6, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1613: (None, None, 1605, 803, 2, 2, 1, 2, 3, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1614: (None, None, 1606, 803, 5, 4, 4, 1, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1615: (None, None, 1607, 804, 5, 2, 2, 1, 5, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1616: (None, None, 1608, 804, 1, 4, 4, 6, 1, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1617: (None, None, 1609, 805, 1, 6, 2, 5, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1618: (None, None, 1610, 805, 3, 6, 4, 2, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1619: (None, None, 1611, 806, 3, 6, 5, 5, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1620: (None, None, 1612, 806, 3, 6, 5, 5, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1621: (None, None, 1613, 807, 6, 3, 2, 3, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1622: (None, None, 1614, 807, 1, 3, 1, 6, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1623: (None, None, 1615, 808, 4, 5, 1, 2, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1624: (None, None, 1616, 808, 4, 3, 6, 3, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1625: (None, None, 1617, 809, 4, 4, 4, 3, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1626: (None, None, 1618, 809, 4, 1, 5, 6, 4, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1627: (None, None, 1619, 810, 5, 2, 4, 6, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1628: (None, None, 1620, 810, 1, 2, 6, 4, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1629: (None, None, 1621, 811, 5, 3, 6, 5, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1630: (None, None, 1622, 811, 6, 5, 6, 5, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1631: (None, None, 1623, 812, 6, 3, 3, 6, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1632: (None, None, 1624, 812, 2, 1, 1, 2, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1633: (None, None, 1625, 813, 2, 5, 6, 6, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1634: (None, None, 1626, 813, 5, 4, 5, 5, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1635: (None, None, 1627, 814, 5, 3, 1, 6, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1636: (None, None, 1628, 814, 3, 5, 6, 3, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1637: (None, None, 1629, 815, 6, 4, 2, 5, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1638: (None, None, 1630, 815, 3, 2, 6, 2, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1639: (None, None, 1631, 816, 3, 4, 3, 2, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1640: (None, None, 1632, 816, 1, 2, 1, 4, 5, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1641: (None, None, 1633, 817, 5, 5, 1, 6, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1642: (None, None, 1634, 817, 1, 5, 5, 6, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1643: (None, None, 1635, 818, 2, 4, 4, 2, 1, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1644: (None, None, 1636, 818, 1, 4, 1, 6, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1645: (None, None, 1637, 819, 3, 1, 4, 4, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1646: (None, None, 1638, 819, 4, 2, 3, 1, 6, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1647: (None, None, 1639, 820, 5, 3, 4, 1, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1648: (None, None, 1640, 820, 3, 3, 3, 5, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1649: (None, None, 1641, 821, 1, 1, 4, 6, 5, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1650: (None, None, 1642, 821, 4, 5, 1, 4, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1651: (None, None, 1643, 822, 5, 6, 3, 4, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1652: (None, None, 1644, 822, 3, 2, 1, 2, 3, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1653: (None, None, 1645, 823, 1, 1, 6, 1, 2, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1654: (None, None, 1646, 823, 2, 5, 2, 3, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1655: (None, None, 1647, 824, 5, 5, 6, 2, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1656: (None, None, 1648, 824, 3, 6, 1, 1, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1657: (None, None, 1649, 825, 6, 5, 3, 6, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1658: (None, None, 1650, 825, 5, 6, 1, 4, 4, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1659: (None, None, 1651, 826, 5, 5, 1, 4, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1660: (None, None, 1652, 826, 5, 1, 1, 2, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1661: (None, None, 1653, 827, 6, 1, 3, 2, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1662: (None, None, 1654, 827, 5, 2, 6, 4, 1, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1663: (None, None, 1655, 828, 3, 4, 4, 2, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1664: (None, None, 1656, 828, 4, 1, 3, 3, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1665: (None, None, 1657, 829, 5, 6, 6, 2, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1666: (None, None, 1658, 829, 1, 3, 6, 6, 1, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1667: (None, None, 1659, 830, 3, 5, 5, 2, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1668: (None, None, 1660, 830, 2, 1, 4, 6, 2, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1669: (None, None, 1661, 831, 5, 1, 3, 4, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1670: (None, None, 1662, 831, 5, 1, 2, 1, 6, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1671: (None, None, 1663, 832, 4, 2, 3, 1, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1672: (None, None, 1664, 832, 5, 1, 5, 5, 4, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1673: (None, None, 1665, 833, 3, 6, 2, 2, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1674: (None, None, 1666, 833, 6, 4, 2, 3, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1675: (None, None, 1667, 834, 3, 2, 2, 2, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1676: (None, None, 1668, 834, 2, 6, 4, 4, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1677: (None, None, 1669, 835, 6, 1, 4, 2, 5, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1678: (None, None, 1670, 835, 3, 1, 1, 2, 3, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1679: (None, None, 1671, 836, 6, 1, 2, 6, 3, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1680: (None, None, 1672, 836, 6, 2, 3, 3, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1681: (None, None, 1673, 837, 3, 5, 5, 2, 2, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1682: (None, None, 1674, 837, 6, 5, 2, 4, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1683: (None, None, 1675, 838, 1, 2, 5, 6, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1684: (None, None, 1676, 838, 4, 1, 1, 1, 3, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1685: (None, None, 1677, 839, 4, 5, 4, 6, 3, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1686: (None, None, 1678, 839, 4, 4, 3, 3, 6, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1687: (None, None, 1679, 840, 1, 1, 6, 5, 5, 5, None, None, None, None, None, None, None, None, None, None, None)
Row 1688: (None, None, 1680, 840, 6, 2, 1, 3, 4, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1689: (None, None, 1681, 841, 4, 4, 6, 3, 4, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1690: (None, None, 1682, 841, 4, 5, 3, 5, 1, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1691: (None, None, 1683, 842, 1, 6, 4, 2, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1692: (None, None, 1684, 842, 1, 4, 2, 1, 5, 1, None, None, None, None, None, None, None, None, None, None, None)
Row 1693: (None, None, 1685, 843, 2, 6, 1, 6, 4, 2, None, None, None, None, None, None, None, None, None, None, None)
Row 1694: (None, None, 1686, 843, 5, 3, 6, 6, 2, 4, None, None, None, None, None, None, None, None, None, None, None)
Row 1695: (None, None, 1687, 844, 6, 3, 4, 2, 6, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1696: (None, None, 1688, 844, 5, 6, 2, 4, 2, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1697: (None, None, 1689, 845, 6, 2, 6, 1, 5, 6, None, None, None, None, None, None, None, None, None, None, None)
Row 1698: (None, None, 1690, 845, 5, 4, 6, 2, 1, 3, None, None, None, None, None, None, None, None, None, None, None)
Row 1699: (None, None, 1691, 846, 4, 5, 4, 4, 6, 2, None, None, None, None, None, None, None, None, None, None, None)
