New Terminal Output:
Map: (44, 26)
(743, 'TERRAIN_OCEAN')
(744, 'TERRAIN_OCEAN')
(745, 'TERRAIN_OCEAN')
(746, 'TERRAIN_OCEAN')
(747, 'TERRAIN_OCEAN')
(748, 'TERRAIN_OCEAN')
(749, 'TERRAIN_OCEAN')
(750, 'TERRAIN_OCEAN')
(751, 'TERRAIN_OCEAN')
(752, 'TERRAIN_OCEAN')
(753, 'TERRAIN_OCEAN')
(754, 'TERRAIN_OCEAN')
(755, 'TERRAIN_OCEAN')
(756, 'TERRAIN_OCEAN')
(757, 'TERRAIN_OCEAN')
(758, 'TERRAIN_OCEAN')
(759, 'TERRAIN_OCEAN')
(760, 'TERRAIN_OCEAN')
(761, 'TERRAIN_OCEAN')
(762, 'TERRAIN_OCEAN')
(763, 'TERRAIN_OCEAN')
(764, 'TERRAIN_OCEAN')
(765, 'TERRAIN_OCEAN')
(766, 'TERRAIN_OCEAN')
(767, 'TERRAIN_OCEAN')
(768, 'TERRAIN_OCEAN')
(769, 'TERRAIN_COAST')
(770, 'TERRAIN_PLAINS')
(771, 'TERRAIN_GRASS')
(772, 'TERRAIN_GRASS')
(773, 'TERRAIN_GRASS')
(774, 'TERRAIN_COAST')
(775, 'TERRAIN_OCEAN')
(776, 'TERRAIN_OCEAN')
(777, 'TERRAIN_OCEAN')
(778, 'TERRAIN_OCEAN')
(779, 'TERRAIN_OCEAN')
(780, 'TERRAIN_OCEAN')
(781, 'TERRAIN_OCEAN')
(782, 'TERRAIN_OCEAN')
(783, 'TERRAIN_OCEAN')
(784, 'TERRAIN_OCEAN')
(785, 'TERRAIN_OCEAN')
(786, 'TERRAIN_OCEAN')
(787, 'TERRAIN_OCEAN')
(788, 'TERRAIN_OCEAN')
(789, 'TERRAIN_OCEAN')
(790, 'TERRAIN_OCEAN')
(791, 'TERRAIN_OCEAN')
(792, 'TERRAIN_OCEAN')
(793, 'TERRAIN_OCEAN')
(794, 'TERRAIN_OCEAN')
(795, 'TERRAIN_OCEAN')
(796, 'TERRAIN_OCEAN')
(797, 'TERRAIN_OCEAN')
(798, 'TERRAIN_OCEAN')
(799, 'TERRAIN_OCEAN')
(800, 'TERRAIN_OCEAN')
(801, 'TERRAIN_OCEAN')
(802, 'TERRAIN_OCEAN')
(803, 'TERRAIN_OCEAN')
(804, 'TERRAIN_OCEAN')
(805, 'TERRAIN_OCEAN')
(806, 'TERRAIN_OCEAN')
(807, 'TERRAIN_OCEAN')
(808, 'TERRAIN_OCEAN')
(809, 'TERRAIN_OCEAN')
(810, 'TERRAIN_OCEAN')
(811, 'TERRAIN_OCEAN')
(812, 'TERRAIN_OCEAN')
(813, 'TERRAIN_OCEAN')
(814, 'TERRAIN_COAST')
(815, 'TERRAIN_COAST')
(816, 'TERRAIN_COAST')
(817, 'TERRAIN_COAST')
(818, 'TERRAIN_COAST')
(819, 'TERRAIN_OCEAN')
(820, 'TERRAIN_OCEAN')
(821, 'TERRAIN_OCEAN')
(822, 'TERRAIN_OCEAN')
(823, 'TERRAIN_OCEAN')
(824, 'TERRAIN_OCEAN')
(825, 'TERRAIN_OCEAN')
(826, 'TERRAIN_OCEAN')
(827, 'TERRAIN_OCEAN')
(828, 'TERRAIN_OCEAN')
(829, 'TERRAIN_OCEAN')
(830, 'TERRAIN_OCEAN')
(831, 'TERRAIN_OCEAN')
(832, 'TERRAIN_OCEAN')
(833, 'TERRAIN_OCEAN')
(834, 'TERRAIN_OCEAN')
(835, 'TERRAIN_OCEAN')
(836, 'TERRAIN_OCEAN')
(837, 'TERRAIN_OCEAN')
(838, 'TERRAIN_OCEAN')
(839, 'TERRAIN_OCEAN')
(840, 'TERRAIN_OCEAN')
(841, 'TERRAIN_OCEAN')
(842, 'TERRAIN_OCEAN')
(843, 'TERRAIN_OCEAN')
(844, 'TERRAIN_OCEAN')
(845, 'TERRAIN_OCEAN')
(846, 'TERRAIN_OCEAN')
(847, 'TERRAIN_OCEAN')
(848, 'TERRAIN_OCEAN')
(849, 'TERRAIN_OCEAN')
(850, 'TERRAIN_OCEAN')
(851, 'TERRAIN_OCEAN')
(852, 'TERRAIN_OCEAN')
(853, 'TERRAIN_OCEAN')
(854, 'TERRAIN_OCEAN')
(855, 'TERRAIN_OCEAN')
(856, 'TERRAIN_OCEAN')
(857, 'TERRAIN_OCEAN')
(858, 'TERRAIN_OCEAN')
(859, 'TERRAIN_OCEAN')
(860, 'TERRAIN_OCEAN')
(861, 'TERRAIN_OCEAN')
(862, 'TERRAIN_OCEAN')
(863, 'TERRAIN_OCEAN')
(864, 'TERRAIN_OCEAN')
(865, 'TERRAIN_OCEAN')
(866, 'TERRAIN_OCEAN')
(867, 'TERRAIN_OCEAN')
(868, 'TERRAIN_OCEAN')
(869, 'TERRAIN_OCEAN')
(870, 'TERRAIN_OCEAN')
(871, 'TERRAIN_OCEAN')
(872, 'TERRAIN_OCEAN')
(873, 'TERRAIN_OCEAN')
(874, 'TERRAIN_OCEAN')
(875, 'TERRAIN_OCEAN')
(876, 'TERRAIN_OCEAN')
(877, 'TERRAIN_OCEAN')
(878, 'TERRAIN_OCEAN')
(879, 'TERRAIN_OCEAN')
(880, 'TERRAIN_OCEAN')
(881, 'TERRAIN_OCEAN')
(882, 'TERRAIN_OCEAN')
(883, 'TERRAIN_OCEAN')
(884, 'TERRAIN_OCEAN')
(885, 'TERRAIN_OCEAN')
(886, 'TERRAIN_OCEAN')
(887, 'TERRAIN_OCEAN')
(888, 'TERRAIN_OCEAN')
(889, 'TERRAIN_OCEAN')
(890, 'TERRAIN_OCEAN')
(891, 'TERRAIN_OCEAN')
(892, 'TERRAIN_OCEAN')
(893, 'TERRAIN_OCEAN')
(894, 'TERRAIN_OCEAN')
(895, 'TERRAIN_OCEAN')
(896, 'TERRAIN_OCEAN')
(897, 'TERRAIN_OCEAN')
(898, 'TERRAIN_OCEAN')
(899, 'TERRAIN_OCEAN')
(900, 'TERRAIN_OCEAN')
(901, 'TERRAIN_OCEAN')
(902, 'TERRAIN_OCEAN')
(903, 'TERRAIN_OCEAN')
(904, 'TERRAIN_OCEAN')
(905, 'TERRAIN_OCEAN')
(906, 'TERRAIN_OCEAN')
(907, 'TERRAIN_OCEAN')
(908, 'TERRAIN_OCEAN')
(909, 'TERRAIN_OCEAN')
(910, 'TERRAIN_OCEAN')
(911, 'TERRAIN_OCEAN')
(912, 'TERRAIN_OCEAN')
(913, 'TERRAIN_OCEAN')
(914, 'TERRAIN_OCEAN')
(915, 'TERRAIN_OCEAN')
(916, 'TERRAIN_OCEAN')
(917, 'TERRAIN_OCEAN')
(918, 'TERRAIN_OCEAN')
(919, 'TERRAIN_OCEAN')
(920, 'TERRAIN_OCEAN')
(921, 'TERRAIN_OCEAN')
(922, 'TERRAIN_OCEAN')
(923, 'TERRAIN_OCEAN')
(924, 'TERRAIN_OCEAN')
(925, 'TERRAIN_OCEAN')
(926, 'TERRAIN_OCEAN')
(927, 'TERRAIN_OCEAN')
(928, 'TERRAIN_OCEAN')
(929, 'TERRAIN_OCEAN')
(930, 'TERRAIN_OCEAN')
(931, 'TERRAIN_OCEAN')
(932, 'TERRAIN_OCEAN')
(933, 'TERRAIN_OCEAN')
(934, 'TERRAIN_OCEAN')
(935, 'TERRAIN_OCEAN')
(936, 'TERRAIN_OCEAN')
(937, 'TERRAIN_OCEAN')
(938, 'TERRAIN_OCEAN')
(939, 'TERRAIN_OCEAN')
(940, 'TERRAIN_OCEAN')
(941, 'TERRAIN_OCEAN')
(942, 'TERRAIN_OCEAN')
(943, 'TERRAIN_OCEAN')
(944, 'TERRAIN_OCEAN')
(945, 'TERRAIN_OCEAN')
(946, 'TERRAIN_OCEAN')
(947, 'TERRAIN_OCEAN')
(948, 'TERRAIN_OCEAN')
(949, 'TERRAIN_OCEAN')
(950, 'TERRAIN_OCEAN')
(951, 'TERRAIN_OCEAN')
(952, 'TERRAIN_OCEAN')
(953, 'TERRAIN_OCEAN')
(954, 'TERRAIN_OCEAN')
(955, 'TERRAIN_OCEAN')
(956, 'TERRAIN_OCEAN')
(957, 'TERRAIN_OCEAN')
(958, 'TERRAIN_OCEAN')
(959, 'TERRAIN_OCEAN')
(960, 'TERRAIN_OCEAN')
(961, 'TERRAIN_OCEAN')
(962, 'TERRAIN_OCEAN')
(963, 'TERRAIN_OCEAN')
(964, 'TERRAIN_OCEAN')
(965, 'TERRAIN_OCEAN')
(966, 'TERRAIN_OCEAN')
(967, 'TERRAIN_OCEAN')
(968, 'TERRAIN_OCEAN')
(969, 'TERRAIN_OCEAN')
(970, 'TERRAIN_OCEAN')
(971, 'TERRAIN_OCEAN')
(972, 'TERRAIN_OCEAN')
(973, 'TERRAIN_OCEAN')
(974, 'TERRAIN_OCEAN')
(975, 'TERRAIN_OCEAN')
(976, 'TERRAIN_OCEAN')
(977, 'TERRAIN_OCEAN')
(978, 'TERRAIN_OCEAN')
(979, 'TERRAIN_OCEAN')
(980, 'TERRAIN_OCEAN')
(981, 'TERRAIN_OCEAN')
(982, 'TERRAIN_OCEAN')
(983, 'TERRAIN_OCEAN')
(984, 'TERRAIN_OCEAN')
(985, 'TERRAIN_OCEAN')
(986, 'TERRAIN_OCEAN')
(987, 'TERRAIN_OCEAN')
(988, 'TERRAIN_OCEAN')
(989, 'TERRAIN_OCEAN')
(990, 'TERRAIN_OCEAN')
(991, 'TERRAIN_OCEAN')
(992, 'TERRAIN_OCEAN')
(993, 'TERRAIN_OCEAN')
(994, 'TERRAIN_OCEAN')
(995, 'TERRAIN_OCEAN')
(996, 'TERRAIN_OCEAN')
(997, 'TERRAIN_OCEAN')
(998, 'TERRAIN_OCEAN')
(999, 'TERRAIN_OCEAN')
(1000, 'TERRAIN_OCEAN')
(1001, 'TERRAIN_OCEAN')
(1002, 'TERRAIN_OCEAN')
(1003, 'TERRAIN_OCEAN')
(1004, 'TERRAIN_OCEAN')
(1005, 'TERRAIN_OCEAN')
(1006, 'TERRAIN_OCEAN')
(1007, 'TERRAIN_OCEAN')
(1008, 'TERRAIN_OCEAN')
(1009, 'TERRAIN_OCEAN')
(1010, 'TERRAIN_OCEAN')
(1011, 'TERRAIN_OCEAN')
(1012, 'TERRAIN_OCEAN')
(1013, 'TERRAIN_OCEAN')
(1014, 'TERRAIN_OCEAN')
(1015, 'TERRAIN_OCEAN')
(1016, 'TERRAIN_OCEAN')
(1017, 'TERRAIN_OCEAN')
(1018, 'TERRAIN_OCEAN')
(1019, 'TERRAIN_OCEAN')
(1020, 'TERRAIN_OCEAN')
(1021, 'TERRAIN_OCEAN')
(1022, 'TERRAIN_OCEAN')
(1023, 'TERRAIN_OCEAN')
(1024, 'TERRAIN_OCEAN')
(1025, 'TERRAIN_OCEAN')
(1026, 'TERRAIN_OCEAN')
(1027, 'TERRAIN_OCEAN')
(1028, 'TERRAIN_OCEAN')
(1029, 'TERRAIN_OCEAN')
(1030, 'TERRAIN_OCEAN')
(1031, 'TERRAIN_OCEAN')
(1032, 'TERRAIN_OCEAN')
(1033, 'TERRAIN_OCEAN')
(1034, 'TERRAIN_OCEAN')
(1035, 'TERRAIN_OCEAN')
(1036, 'TERRAIN_OCEAN')
(1037, 'TERRAIN_COAST')
(1038, 'TERRAIN_COAST')
(1039, 'TERRAIN_OCEAN')
(1040, 'TERRAIN_OCEAN')
(1041, 'TERRAIN_OCEAN')
(1042, 'TERRAIN_OCEAN')
(1043, 'TERRAIN_OCEAN')
(1044, 'TERRAIN_OCEAN')
(1045, 'TERRAIN_OCEAN')
(1046, 'TERRAIN_OCEAN')
(1047, 'TERRAIN_OCEAN')
(1048, 'TERRAIN_OCEAN')
(1049, 'TERRAIN_OCEAN')
(1050, 'TERRAIN_OCEAN')
(1051, 'TERRAIN_OCEAN')
(1052, 'TERRAIN_OCEAN')
(1053, 'TERRAIN_OCEAN')
(1054, 'TERRAIN_OCEAN')
(1055, 'TERRAIN_OCEAN')
(1056, 'TERRAIN_OCEAN')
(1057, 'TERRAIN_OCEAN')
(1058, 'TERRAIN_OCEAN')
(1059, 'TERRAIN_OCEAN')
(1060, 'TERRAIN_OCEAN')
(1061, 'TERRAIN_OCEAN')
(1062, 'TERRAIN_OCEAN')
(1063, 'TERRAIN_OCEAN')
(1064, 'TERRAIN_OCEAN')
(1065, 'TERRAIN_OCEAN')
(1066, 'TERRAIN_OCEAN')
(1067, 'TERRAIN_OCEAN')
(1068, 'TERRAIN_OCEAN')
(1069, 'TERRAIN_OCEAN')
(1070, 'TERRAIN_OCEAN')
(1071, 'TERRAIN_OCEAN')
(1072, 'TERRAIN_OCEAN')
(1073, 'TERRAIN_OCEAN')
(1074, 'TERRAIN_OCEAN')
(1075, 'TERRAIN_OCEAN')
(1076, 'TERRAIN_OCEAN')
(1077, 'TERRAIN_OCEAN')
(1078, 'TERRAIN_OCEAN')
(1079, 'TERRAIN_OCEAN')
(1080, 'TERRAIN_OCEAN')
(1081, 'TERRAIN_OCEAN')
(1082, 'TERRAIN_OCEAN')
(1083, 'TERRAIN_OCEAN')
(1084, 'TERRAIN_OCEAN')
(1085, 'TERRAIN_OCEAN')
(1086, 'TERRAIN_OCEAN')
(1087, 'TERRAIN_OCEAN')
(1088, 'TERRAIN_OCEAN')
(1089, 'TERRAIN_OCEAN')
(1090, 'TERRAIN_OCEAN')
(1091, 'TERRAIN_OCEAN')
(1092, 'TERRAIN_OCEAN')
(1093, 'TERRAIN_OCEAN')
(1094, 'TERRAIN_COAST')
(1095, 'TERRAIN_OCEAN')
(1096, 'TERRAIN_OCEAN')
(1097, 'TERRAIN_OCEAN')
(1098, 'TERRAIN_OCEAN')
(1099, 'TERRAIN_OCEAN')
(1100, 'TERRAIN_OCEAN')
(1101, 'TERRAIN_OCEAN')
(1102, 'TERRAIN_OCEAN')
(1103, 'TERRAIN_OCEAN')
(1104, 'TERRAIN_OCEAN')
(1105, 'TERRAIN_OCEAN')
(1106, 'TERRAIN_OCEAN')
(1107, 'TERRAIN_OCEAN')
(1108, 'TERRAIN_OCEAN')
(1109, 'TERRAIN_OCEAN')
(1110, 'TERRAIN_OCEAN')
(1111, 'TERRAIN_OCEAN')
(1112, 'TERRAIN_OCEAN')
(1113, 'TERRAIN_OCEAN')
(1114, 'TERRAIN_OCEAN')
(1115, 'TERRAIN_OCEAN')
(1116, 'TERRAIN_OCEAN')
(1117, 'TERRAIN_OCEAN')
(1118, 'TERRAIN_OCEAN')
(1119, 'TERRAIN_OCEAN')
(1120, 'TERRAIN_OCEAN')
(1121, 'TERRAIN_OCEAN')
(1122, 'TERRAIN_OCEAN')
(1123, 'TERRAIN_OCEAN')
(1124, 'TERRAIN_OCEAN')
(1125, 'TERRAIN_OCEAN')
(1126, 'TERRAIN_OCEAN')
(1127, 'TERRAIN_OCEAN')
(1128, 'TERRAIN_COAST')
(1129, 'TERRAIN_OCEAN')
(1130, 'TERRAIN_OCEAN')
(1131, 'TERRAIN_OCEAN')
(1132, 'TERRAIN_OCEAN')
(1133, 'TERRAIN_COAST')
(1134, 'TERRAIN_OCEAN')
(1135, 'TERRAIN_OCEAN')
(1136, 'TERRAIN_OCEAN')
(1137, 'TERRAIN_COAST')
(1138, 'TERRAIN_COAST')
(1139, 'TERRAIN_OCEAN')
(1140, 'TERRAIN_COAST')
(1141, 'TERRAIN_COAST')
(1142, 'TERRAIN_COAST')
(1143, 'TERRAIN_OCEAN')
Features:
(0, 'FEATURE_ICE')
(1, 'FEATURE_ICE')
(2, 'FEATURE_ICE')
(3, 'FEATURE_ICE')
(4, 'FEATURE_ICE')
(5, 'FEATURE_ICE')
(6, 'FEATURE_ICE')
(7, 'FEATURE_ICE')
(8, 'FEATURE_ICE')
(9, 'FEATURE_ICE')
(10, 'FEATURE_ICE')
(11, 'FEATURE_ICE')
(12, 'FEATURE_ICE')
(13, 'FEATURE_ICE')
(15, 'FEATURE_ICE')
(16, 'FEATURE_ICE')
(17, 'FEATURE_ICE')
(18, 'FEATURE_ICE')
(19, 'FEATURE_ICE')
(20, 'FEATURE_ICE')
(21, 'FEATURE_ICE')
(22, 'FEATURE_ICE')
(23, 'FEATURE_ICE')
(24, 'FEATURE_ICE')
(25, 'FEATURE_ICE')
(26, 'FEATURE_ICE')
(27, 'FEATURE_ICE')
(28, 'FEATURE_ICE')
(29, 'FEATURE_ICE')
(30, 'FEATURE_ICE')
(31, 'FEATURE_ICE')
(32, 'FEATURE_ICE')
(33, 'FEATURE_ICE')
(34, 'FEATURE_ICE')
(35, 'FEATURE_ICE')
(36, 'FEATURE_ICE')
(37, 'FEATURE_ICE')
(38, 'FEATURE_ICE')
(39, 'FEATURE_ICE')
(40, 'FEATURE_ICE')
(41, 'FEATURE_ICE')
(42, 'FEATURE_ICE')
(43, 'FEATURE_ICE')
(44, 'FEATURE_ICE')
(45, 'FEATURE_ICE')
(46, 'FEATURE_ICE')
(48, 'FEATURE_ICE')
(49, 'FEATURE_ICE')
(51, 'FEATURE_ICE')
(52, 'FEATURE_ICE')
(54, 'FEATURE_ICE')
(57, 'FEATURE_ICE')
(58, 'FEATURE_ICE')
(59, 'FEATURE_ICE')
(60, 'FEATURE_ICE')
(61, 'FEATURE_ICE')
(62, 'FEATURE_ICE')
(63, 'FEATURE_ICE')
(64, 'FEATURE_ICE')
(65, 'FEATURE_ICE')
(66, 'FEATURE_ICE')
(67, 'FEATURE_ICE')
(68, 'FEATURE_ICE')
(69, 'FEATURE_ICE')
(70, 'FEATURE_ICE')
(71, 'FEATURE_ICE')
(72, 'FEATURE_ICE')
(73, 'FEATURE_ICE')
(74, 'FEATURE_ICE')
(75, 'FEATURE_ICE')
(76, 'FEATURE_ICE')
(77, 'FEATURE_ICE')
(78, 'FEATURE_ICE')
(79, 'FEATURE_ICE')
(80, 'FEATURE_ICE')
(81, 'FEATURE_ICE')
(82, 'FEATURE_ICE')
(83, 'FEATURE_ICE')
(84, 'FEATURE_ICE')
(85, 'FEATURE_ICE')
(86, 'FEATURE_ICE')
(87, 'FEATURE_ICE')
(89, 'FEATURE_ICE')
(90, 'FEATURE_ICE')
(103, 'FEATURE_ICE')
(104, 'FEATURE_ICE')
(105, 'FEATURE_ICE')
(106, 'FEATURE_ICE')
(107, 'FEATURE_ICE')
(108, 'FEATURE_ICE')
(109, 'FEATURE_ICE')
(110, 'FEATURE_ICE')
(111, 'FEATURE_ICE')
(112, 'FEATURE_ICE')
(113, 'FEATURE_ICE')
(114, 'FEATURE_ICE')
(115, 'FEATURE_ICE')
(116, 'FEATURE_ICE')
(117, 'FEATURE_ICE')
(118, 'FEATURE_ICE')
(119, 'FEATURE_ICE')
(120, 'FEATURE_ICE')
(121, 'FEATURE_ICE')
(122, 'FEATURE_ICE')
(123, 'FEATURE_ICE')
(124, 'FEATURE_ICE')
(125, 'FEATURE_ICE')
(126, 'FEATURE_ICE')
(127, 'FEATURE_ICE')
(128, 'FEATURE_ICE')
(129, 'FEATURE_ICE')
(130, 'FEATURE_ICE')
(131, 'FEATURE_ICE')
(132, 'FEATURE_ICE')
(133, 'FEATURE_ICE')
(134, 'FEATURE_ICE')
(147, 'FEATURE_ICE')
(148, 'FEATURE_ICE')
(149, 'FEATURE_ICE')
(150, 'FEATURE_ICE')
(151, 'FEATURE_ICE')
(152, 'FEATURE_ICE')
(153, 'FEATURE_ICE')
(154, 'FEATURE_ICE')
(155, 'FEATURE_ICE')
(156, 'FEATURE_ICE')
(157, 'FEATURE_ICE')
(158, 'FEATURE_ICE')
(159, 'FEATURE_ICE')
(160, 'FEATURE_ICE')
(161, 'FEATURE_ICE')
(162, 'FEATURE_ICE')
(163, 'FEATURE_ICE')
(164, 'FEATURE_ICE')
(165, 'FEATURE_ICE')
(166, 'FEATURE_ICE')
(167, 'FEATURE_ICE')
(168, 'FEATURE_ICE')
(169, 'FEATURE_ICE')
(170, 'FEATURE_ICE')
(171, 'FEATURE_ICE')
(172, 'FEATURE_ICE')
(173, 'FEATURE_ICE')
(174, 'FEATURE_ICE')
(194, 'FEATURE_ICE')
(196, 'FEATURE_ICE')
(197, 'FEATURE_ICE')
(198, 'FEATURE_ICE')
(200, 'FEATURE_ICE')
(201, 'FEATURE_ICE')
(202, 'FEATURE_ICE')
(203, 'FEATURE_ICE')
(204, 'FEATURE_ICE')
(205, 'FEATURE_ICE')
(208, 'FEATURE_ICE')
(211, 'FEATURE_ICE')
(212, 'FEATURE_ICE')
(213, 'FEATURE_ICE')
(214, 'FEATURE_ICE')
(217, 'FEATURE_ICE')
(218, 'FEATURE_ICE')
(243, 'FEATURE_ICE')
(244, 'FEATURE_ICE')
(245, 'FEATURE_ICE')
(246, 'FEATURE_ICE')
(247, 'FEATURE_ICE')
(248, 'FEATURE_ICE')
(258, 'FEATURE_ICE')
(260, 'FEATURE_ICE')
(261, 'FEATURE_ICE')
(290, 'FEATURE_ICE')
(291, 'FEATURE_ICE')
(292, 'FEATURE_ICE')
(293, 'FEATURE_ICE')
(305, 'FEATURE_ICE')
(336, 'FEATURE_ICE')
(507, 'FEATURE_FOREST')
(552, 'FEATURE_FOREST')
(592, 'FEATURE_JUNGLE')
(593, 'FEATURE_GEOTHERMAL_FISSURE')
(595, 'FEATURE_FOREST')
(636, 'FEATURE_REEF')
(639, 'FEATURE_FLOODPLAINS_PLAINS')
(680, 'FEATURE_JUNGLE')
(683, 'FEATURE_FLOODPLAINS_PLAINS')
(727, 'FEATURE_FLOODPLAINS_PLAINS')
(770, 'FEATURE_FLOODPLAINS_PLAINS')
(856, 'FEATURE_ICE')
(901, 'FEATURE_ICE')
(902, 'FEATURE_ICE')
(928, 'FEATURE_ICE')
(929, 'FEATURE_ICE')
(944, 'FEATURE_ICE')
(945, 'FEATURE_ICE')
(946, 'FEATURE_ICE')
(951, 'FEATURE_ICE')
(971, 'FEATURE_ICE')
(972, 'FEATURE_ICE')
(973, 'FEATURE_ICE')
(975, 'FEATURE_ICE')
(976, 'FEATURE_ICE')
(988, 'FEATURE_ICE')
(989, 'FEATURE_ICE')
(990, 'FEATURE_ICE')
(991, 'FEATURE_ICE')
(992, 'FEATURE_ICE')
(993, 'FEATURE_ICE')
(994, 'FEATURE_ICE')
(995, 'FEATURE_ICE')
(1014, 'FEATURE_ICE')
(1015, 'FEATURE_ICE')
(1016, 'FEATURE_ICE')
(1017, 'FEATURE_ICE')
(1018, 'FEATURE_ICE')
(1019, 'FEATURE_ICE')
(1020, 'FEATURE_ICE')
(1030, 'FEATURE_ICE')
(1031, 'FEATURE_ICE')
(1032, 'FEATURE_ICE')
(1033, 'FEATURE_ICE')
(1034, 'FEATURE_ICE')
(1035, 'FEATURE_ICE')
(1036, 'FEATURE_ICE')
(1037, 'FEATURE_ICE')
(1038, 'FEATURE_ICE')
(1039, 'FEATURE_ICE')
(1059, 'FEATURE_ICE')
(1060, 'FEATURE_ICE')
(1061, 'FEATURE_ICE')
(1062, 'FEATURE_ICE')
(1063, 'FEATURE_ICE')
(1064, 'FEATURE_ICE')
(1065, 'FEATURE_ICE')
(1073, 'FEATURE_ICE')
(1074, 'FEATURE_ICE')
(1075, 'FEATURE_ICE')
(1076, 'FEATURE_ICE')
(1077, 'FEATURE_ICE')
(1078, 'FEATURE_ICE')
(1079, 'FEATURE_ICE')
(1080, 'FEATURE_ICE')
(1081, 'FEATURE_ICE')
(1082, 'FEATURE_ICE')
(1083, 'FEATURE_ICE')
(1084, 'FEATURE_ICE')
(1085, 'FEATURE_ICE')
(1095, 'FEATURE_ICE')
(1097, 'FEATURE_ICE')
(1099, 'FEATURE_ICE')
(1104, 'FEATURE_ICE')
(1105, 'FEATURE_ICE')
(1106, 'FEATURE_ICE')
(1107, 'FEATURE_ICE')
(1108, 'FEATURE_ICE')
(1117, 'FEATURE_ICE')
(1118, 'FEATURE_ICE')
(1119, 'FEATURE_ICE')
(1120, 'FEATURE_ICE')
(1121, 'FEATURE_ICE')
(1122, 'FEATURE_ICE')
(1123, 'FEATURE_ICE')
(1124, 'FEATURE_ICE')
(1125, 'FEATURE_ICE')
(1126, 'FEATURE_ICE')
(1127, 'FEATURE_ICE')
(1128, 'FEATURE_ICE')
(1129, 'FEATURE_ICE')
(1138, 'FEATURE_ICE')
(1139, 'FEATURE_ICE')
(1140, 'FEATURE_ICE')
(1141, 'FEATURE_ICE')
(1142, 'FEATURE_ICE')
Rivers:
(313, 1, 0, 0)
(575, 0, 0, 1)
(593, 0, 1, 1)
(638, 0, 1, 1)
(639, 0, 1, 0)
(640, 1, 0, 0)
(682, 0, 0, 1)
(683, 0, 1, 1)
(727, 0, 1, 0)
(728, 1, 0, 0)
(770, 0, 1, 0)
(771, 1, 0, 0)
(830, 0, 1, 0)
(1048, 0, 1, 0)
